code,ville,pop,latitude,longitude,codeMRC,MRC
48028,Acton Vale ,7743,45.64778,-72.56472,48,Acton
93042,Alma ,30791,48.54972,-71.65333,93,Lac-Saint-Jean-Est
88055,Amos ,12734,48.56472,-78.1125,88,Abitibi
7047,Amqui ,6082,48.46194,-67.43222,7,La Matapédia
96020,Baie-Comeau ,21061,49.22083,-68.14917,96,Manicouagan
16013,Baie-Saint-Paul ,7168,47.44056,-70.50944,16,Charlevoix
27028,Beauceville ,6313,46.21472,-70.77583,27,Robert-Cliche
38010,Bécancour ,13545,46.34833,-72.435,38,Bécancour
73015,Blainville ,60695,45.67944,-73.87389,73,Thérèse-De Blainville
98005,Blanc-Sablon ,1085,51.4175,-57.18528,982,Le Golfe-du-Saint-Laurent
21045,Boischatel ,8148,46.89694,-71.14,21,La Côte-de-Beaupré
6013,Carleton-sur-Mer ,3985,48.10167,-66.12194,6,Avignon
57005,Chambly ,31360,45.45,-73.29111,57,La Vallée-du-Richelieu
2028,Chandler ,7400,48.34861,-64.67833,2,Le Rocher-Percé
67050,Châteauguay ,49927,45.36083,-73.75056,67,Roussillon
99025,Chibougamau ,7493,49.91333,-74.36861,991,Jamésie
99814,Chisasibi ,5203,53.65528,-78.79778,993,Eeyou Istchee
44037,Coaticook ,8906,45.13444,-71.805,44,Coaticook
41038,Cookshire-Eaton ,5431,45.41306,-71.62611,41,Le Haut-Saint-François
46080,Cowansville ,14695,45.20472,-72.74111,46,Brome-Missisquoi
92022,Dolbeau-Mistassini ,14072,48.87639,-72.22583,92,Maria-Chapdelaine
49058,Drummondville ,78376,45.88056,-72.48417,49,Drummond
97035,Fermont ,2447,52.7975,-67.09028,972,Caniapiscau
95045,Forestville ,2924,48.73833,-69.07694,95,La Haute-Côte-Nord
3005,Gaspé ,15024,48.82472,-64.47611,3,La Côte-de-Gaspé
81017,Gatineau ,287868,45.42778,-75.71111,81,Gatineau
47017,Granby ,68540,45.39889,-72.72111,47,La Haute-Yamaska
98040,Havre-Saint-Pierre ,3371,50.245,-63.59694,981,Minganie
61025,Joliette ,21096,46.02389,-73.44278,61,Joliette
99095,Kuujjuaq ,2848,58.1075,-68.40361,992,Administration régionale Kativik
17078,L'Islet ,3803,47.10361,-70.35194,17,L'Islet
15013,La Malbaie ,8141,47.65222,-70.14889,15,Charlevoix-Est
14085,La Pocatière ,4051,47.37028,-70.03278,14,Kamouraska
87090,La Sarre ,7305,48.80694,-79.20472,87,Abitibi-Ouest
90012,La Tuque ,10912,47.44083,-72.78139,90,La Tuque
28053,Lac-Etchemin ,3878,46.39639,-70.50444,28,Les Etchemins
30030,Lac-Mégantic ,5569,45.57361,-70.88222,30,Le Granit
76020,Lachute ,13393,45.65556,-74.33944,76,Argenteuil
65005,Laval ,438973,45.55167,-73.74528,65,Laval
52007,Lavaltrie ,14195,45.88444,-73.27694,52,D'Autray
1023,Les Îles-de-la-Madeleine ,12168,47.37611,-61.86806,1,Communauté maritime des Îles-de-la-Madeleine
25213,Lévis ,147673,46.75806,-71.24083,251,Lévis
58227,Longueuil ,249997,45.51389,-73.43139,58,Longueuil
51015,Louiseville ,7183,46.25556,-72.9425,51,Maskinongé
45072,Magog ,27280,45.265,-72.14667,45,Memphrémagog
83065,Maniwaki ,3828,46.37444,-75.98194,83,La Vallée-de-la-Gatineau
84065,Mansfield-et-Pontefract ,2341,45.86111,-76.73917,84,Pontiac
55048,Marieville ,11159,45.43139,-73.16361,55,Rouville
8053,Matane ,14051,48.84333,-67.53056,8,La Matanie
74005,Mirabel ,57500,45.66417,-74.00194,74,Mirabel
9077,Mont-Joli ,6218,48.58528,-68.18917,9,La Mitis
79088,Mont-Laurier ,14160,46.54611,-75.50306,79,Antoine-Labelle
18050,Montmagny ,11088,46.98139,-70.5575,18,Montmagny
66023,Montréal ,1806022,45.50889,-73.55417,663,Communauté métropolitaine de Montréal
5070,New Richmond ,3718,48.16222,-65.86139,5,Bonaventure
50072,Nicolet ,8415,46.22639,-72.61611,50,Nicolet-Yamaska
37235,Notre-Dame-du-Mont-Carmel ,5953,46.47278,-72.67556,372,Les Chenaux
69037,Ormstown ,3676,45.12111,-73.99083,69,Le Haut-Saint-Laurent
32040,Plessisville ,6596,46.21889,-71.77194,32,L'Érable
23027,Québec ,546424,46.81389,-71.20806,235,Communauté métropolitaine de Québec
62037,Rawdon ,11421,46.04222,-73.70722,62,Matawinie
60013,Repentigny ,85676,45.74194,-73.45139,60,L'Assomption
10043,Rimouski ,49419,48.44917,-68.525,10,Rimouski-Neigette
12072,Rivière-du-Loup ,20055,47.83611,-69.53667,12,Rivière-du-Loup
86042,Rouyn-Noranda ,43055,48.2375,-79.01722,86,Rouyn-Noranda
94068,Saguenay ,146797,48.42778,-71.06278,941,Saguenay
80027,Saint-André-Avellin ,3776,45.725,-75.05417,80,Papineau
33090,Saint-Apollinaire ,7086,46.61667,-71.51056,33,Lotbinière
72005,Saint-Eustache ,45093,45.5575,-73.88833,72,Deux-Montagnes
91042,Saint-Félicien ,10286,48.65278,-72.44667,91,Le Domaine-du-Roy
29073,Saint-Georges ,33370,46.12278,-70.67139,29,Beauce-Sartigan
19068,Saint-Henri ,5744,46.6925,-71.0675,19,Bellechasse
94240,Saint-Honoré ,6029,48.53472,-71.08639,942,Le Fjord-du-Saguenay
54048,Saint-Hyacinthe ,56810,45.62611,-72.94639,54,Les Maskoutains
56083,Saint-Jean-sur-Richelieu ,97711,45.30556,-73.25361,56,Le Haut-Richelieu
75017,Saint-Jérôme ,78747,45.77528,-74.00361,75,La Rivière-du-Nord
63048,Saint-Lin--Laurentides ,22589,45.85139,-73.75583,63,Montcalm
20025,Saint-Pierre-de-l'Île-d'Orléans ,2004,46.88833,-71.07,20,L'Île-d'Orléans
34128,Saint-Raymond ,10761,46.89139,-71.8325,34,Portneuf
68055,Saint-Rémi ,8836,45.25917,-73.61417,68,Les Jardins-de-Napierville
35027,Saint-Tite ,3693,46.72694,-72.56472,35,Mékinac
77022,Sainte-Adèle ,13516,45.95556,-74.13944,77,Les Pays-d'en-Haut
78032,Sainte-Agathe-des-Monts ,10786,46.04806,-74.28361,78,Les Laurentides
4037,Sainte-Anne-des-Monts ,6277,49.12972,-66.4875,4,La Haute-Gaspésie
59010,Sainte-Julie ,30095,45.58778,-73.32611,59,Marguerite-D'Youville
26030,Sainte-Marie ,13583,46.43833,-71.02139,26,La Nouvelle-Beauce
70052,Salaberry-de-Valleyfield ,42306,45.25528,-74.13167,70,Beauharnois-Salaberry
97007,Sept-Îles ,25063,50.20972,-66.38528,971,Sept-Rivières
36033,Shawinigan ,49382,46.54111,-72.74528,36,Shawinigan
43027,Sherbrooke ,168518,45.40417,-71.89306,43,Sherbrooke
53052,Sorel-Tracy ,34890,46.04361,-73.11333,53,Pierre-De Saurel
22035,Stoneham-et-Tewkesbury ,9134,46.99917,-71.36806,22,La Jacques-Cartier
13073,Témiscouata-sur-le-Lac ,4913,47.68333,-68.88333,13,Témiscouata
64008,Terrebonne ,117615,45.69167,-73.63444,64,Les Moulins
31084,Thetford Mines ,25618,46.08889,-71.30194,31,Les Appalaches
11040,Trois-Pistoles ,3152,48.12556,-69.17528,11,Les Basques
37067,Trois-Rivières ,138200,46.34306,-72.54333,371,Trois-Rivières
89008,Val-d'Or ,32896,48.10194,-77.78944,89,La Vallée-de-l'Or
82015,Val-des-Monts ,12241,45.665,-75.73417,82,Les Collines-de-l'Outaouais
40043,Val-des-Sources ,6840,45.7775,-71.93833,40,Les Sources
71083,Vaudreuil-Dorion ,41017,45.40361,-74.03667,71,Vaudreuil-Soulanges
39062,Victoriaville ,47466,46.05583,-71.96056,39,Arthabaska
85025,Ville-Marie ,2476,47.32889,-79.4375,85,Témiscamingue
42088,Windsor ,5327,45.56861,-72.00583,42,Le Val-Saint-François
